review_id,study_id,blind_output_id,reviewer_id,outcome_quality,completeness,factuality,actionability,traceability,verification_quality,critical_errors,strengths,confidence,reviewed_at
reviewer-a-out-046bce2e8a6aabc8,study-controlled-v1,out-046bce2e8a6aabc8,reviewer-a,5,5,5,5,5,5,,"Comprehensive, risk-controlled migration plan with per-tunnel current/target-state records, compatibility and dependency controls, explicit go/no-go gates, measurable validation, and a complete rollback path. It clearly separates planning from production authorization.",5,2026-08-03T02:06:12.440139+00:00
reviewer-a-out-0dc8a604def35fc1,study-controlled-v1,out-0dc8a604def35fc1,reviewer-a,5,5,5,5,5,5,,"Defines a strong delegation charter with explicit manager boundaries, separate decision and execution roles, a decision register, evidence-based checkpoints, escalation content, and a named completion acceptor.",5,2026-08-03T02:06:12.440167+00:00
reviewer-a-out-378e29d05254b147,study-controlled-v1,out-378e29d05254b147,reviewer-a,5,5,5,5,5,5,,"Translates policy into practical execution-time actor-action-target controls, tamper-resistant lifecycle evidence, consequence-tiered safeguards, robust rollback/readback controls, and testable exception handling.",5,2026-08-03T02:06:12.440176+00:00
reviewer-a-out-3c20fe70d7e13c1f,study-controlled-v1,out-3c20fe70d7e13c1f,reviewer-a,5,5,5,4,5,5,,"Strong technology-neutral control specification with scoped execution authorization, integrity-protected evidence, consequence tiers, negative test cases, and clear separation of planning, approval, execution, and verification.",5,2026-08-03T02:06:12.440183+00:00
reviewer-a-out-4708aec92a6ee55c,study-controlled-v1,out-4708aec92a6ee55c,reviewer-a,5,5,5,5,4,5,,"Correctly refuses to invent the missing contradiction, ties the two primary sources, downgrades the outdated secondary source, separates findings from inference, and recommends the precise evidence needed next.",5,2026-08-03T02:06:12.440188+00:00
reviewer-a-out-508e74ba0389cad9,study-controlled-v1,out-508e74ba0389cad9,reviewer-a,4,4,5,4,3,4,"Decision and execution ownership are combined within the engineering and operations lead roles, and completion lacks a separately named acceptance owner. This reduces accountability clarity for a cross-team initiative.","Concise, usable charter with clear manager boundaries, named team leads, recurring checkpoints, escalation triggers, completion evidence, and a practical list of stakeholder assumptions to confirm.",5,2026-08-03T02:06:12.440195+00:00
reviewer-a-out-7c1f9763ab301965,study-controlled-v1,out-7c1f9763ab301965,reviewer-a,5,5,5,5,5,5,,"Immediately usable ten-minute response card that distinguishes facts from hypotheses, limits containment to reversible authorized actions, sets communication cadence, defines recovery evidence, and preserves incident artifacts without delaying response.",5,2026-08-03T02:06:12.440200+00:00
reviewer-a-out-9766694bc902f53f,study-controlled-v1,out-9766694bc902f53f,reviewer-a,5,5,5,4,5,5,,"Exceptionally thorough planning-only migration framework with authoritative-data boundaries, per-peer inventory, explicit no-go criteria, controlled cutover scope, objective rollback triggers, and a strong evidence package.",5,2026-08-03T02:06:12.440205+00:00
reviewer-a-out-97d7b413e37f45c9,study-controlled-v1,out-97d7b413e37f45c9,reviewer-a,5,5,5,5,4,5,,"Technically detailed and operationally practical, covering IKEv2 parameters, coexistence options, routing and PKI dependencies, lab validation, application acceptance, rollback sequencing, and separate IKEv1 retirement approval.",5,2026-08-03T02:06:12.440211+00:00
reviewer-a-out-9bb31a9ba41121f3,study-controlled-v1,out-9bb31a9ba41121f3,reviewer-a,5,4,5,5,4,4,,"Clear decision posture, appropriate source ranking, disciplined handling of the unavailable exact contradiction, explicit uncertainty, and a focused recommendation to obtain current primary-source text and authoritative clarification.",5,2026-08-03T02:06:12.440217+00:00
reviewer-a-out-a409c13b4636c2f3,study-controlled-v1,out-a409c13b4636c2f3,reviewer-a,4,5,4,4,5,5,"The plan treats the scenario's stated simulation status and monitoring-indicated customer impact as unverified and allocates early response time to revalidating those premises and communication permission. That added governance could delay containment within the required ten-minute window.","Strong labeling discipline, explicit action-authorization gates, bounded evidence capture, recovery criteria, and a useful T+10 completion check. It is careful not to confuse an alert clearing with verified service recovery.",5,2026-08-03T02:06:12.440223+00:00
reviewer-a-out-c3aeddeb10ce8c40,study-controlled-v1,out-c3aeddeb10ce8c40,reviewer-a,5,5,5,5,5,5,,"Well-balanced delegation model with distinct decision and execution owners, a coordinator who does not override ownership, concrete charter deliverables, escalation triggers, objective closure evidence, and required stakeholder confirmations.",5,2026-08-03T02:06:12.440228+00:00
reviewer-a-out-e2a88c1d2035ae30,study-controlled-v1,out-e2a88c1d2035ae30,reviewer-a,5,5,5,5,5,5,,"Excellent bounded contract: authorization-first context assembly, provider-neutral adapter, strict schema validation, zero direct canonical mutation, measurable acceptance criteria, comprehensive tests, and a low-risk rollback design.",5,2026-08-03T02:06:12.440234+00:00
reviewer-a-out-e77859dd10dc5107,study-controlled-v1,out-e77859dd10dc5107,reviewer-a,5,5,5,5,5,5,,"Implementation-ready contract with clear user value, repository and authorization boundaries, an explicit deterministic apply path, measurable non-mutation tests, provider neutrality, regression coverage, and reversible feature disablement.",5,2026-08-03T02:06:12.440240+00:00
reviewer-a-out-eb73fe70f9878947,study-controlled-v1,out-eb73fe70f9878947,reviewer-a,5,5,5,5,5,5,,"Best-in-class provenance handling: explicit evidence boundary, tied authority ranking, contradiction matrix, separate findings/inference/assumptions, clear unresolved decision impact, and a two-stage evidence-gathering recommendation.",5,2026-08-03T02:06:12.440244+00:00
reviewer-a-out-f04174b675c63235,study-controlled-v1,out-f04174b675c63235,reviewer-a,5,5,5,4,4,5,,"Concise and complete control framework with execution-time authorization, machine-verifiable ticket scope, tamper-evident evidence, mandatory gates, independent readback, tightly controlled emergencies, and consequence-tiered escalation.",5,2026-08-03T02:06:12.440250+00:00
reviewer-b-out-0db13d90df8dde78,study-controlled-v1,out-0db13d90df8dde78,reviewer-b,5,5,5,4,5,4,,"Rigorous fact/proposal/assumption labeling throughout; strict manager-boundary enforcement (no execution work absorbed); thorough decision-rights register and assumption register tied to escalation.",4,2026-08-03T02:06:12.597463+00:00
reviewer-b-out-0dc8a604def35fc1,study-controlled-v1,out-0dc8a604def35fc1,reviewer-b,5,5,5,5,4,4,,"Concrete escalation cadence (one business day) and named-role structure make this easy to operationalize; decision register and stakeholder-confirmation log are specific and testable.",4,2026-08-03T02:06:12.597490+00:00
reviewer-b-out-2b98fcf97bdc47cd,study-controlled-v1,out-2b98fcf97bdc47cd,reviewer-b,5,5,5,5,4,4,,"Provider-agnostic adapter boundary is well defined; clear separation of untrusted model output from canonical writes; acceptance criteria map cleanly to requirements; strong test list covering auth, schema validation, and no-write guarantees.",4,2026-08-03T02:06:12.597497+00:00
reviewer-b-out-343566f5d9b53740,study-controlled-v1,out-343566f5d9b53740,reviewer-b,5,5,5,4,4,4,,"Uncertainty appropriately preserved (does not manufacture the exact contradiction); clearly separates findings from inference; concrete, sequenced next evidence-gathering action.",4,2026-08-03T02:06:12.597503+00:00
reviewer-b-out-378e29d05254b147,study-controlled-v1,out-378e29d05254b147,reviewer-b,5,5,5,4,4,5,,"Very thorough governance model with actor-action-target authorization, append-only evidence, and consequence-tiered proportionality; verification notes give concrete positive/negative test cases.",4,2026-08-03T02:06:12.597508+00:00
reviewer-b-out-4708aec92a6ee55c,study-controlled-v1,out-4708aec92a6ee55c,reviewer-b,5,5,5,4,5,4,,"Same rigorous fact/inference separation as the paired review; traceability references explicitly index each requirement/constraint (untrusted_scenario.Requirements[n]), improving auditability.",4,2026-08-03T02:06:12.597513+00:00
reviewer-b-out-47e923a83d897b9c,study-controlled-v1,out-47e923a83d897b9c,reviewer-b,5,5,5,4,5,5,,"Most complete of the software-feature-contract set: includes an explicit 'pre-implementation decisions and deliverables' section and detailed provider-failure/rollback behavior beyond the base requirements.",4,2026-08-03T02:06:12.597518+00:00
reviewer-b-out-4fae9aa88a4a764a,study-controlled-v1,out-4fae9aa88a4a764a,reviewer-b,5,5,5,5,4,5,,"Concrete, protocol-accurate technical detail (DH groups, ESP/PFS, NAT-T, proxy IDs) that a network engineer could execute from; parallel-cutover-preferred design minimizes outage risk; well-structured rollback triggers.",5,2026-08-03T02:06:12.597523+00:00
reviewer-b-out-50da184b48543237,study-controlled-v1,out-50da184b48543237,reviewer-b,5,5,5,5,4,4,,"Clean time-boxed structure (0-2/2-5/5-10 min) that is easy to execute live; explicit authority boundary for destructive actions; recovery verification requires sustained, multi-signal confirmation rather than a single alert clearing.",5,2026-08-03T02:06:12.597527+00:00
reviewer-b-out-70a46d6d512775b4,study-controlled-v1,out-70a46d6d512775b4,reviewer-b,5,5,5,5,4,4,,"Table format (time/owner/action/minimum record) is the most scannable and directly usable under real time pressure; per-row 'minimum record' column keeps evidence capture lightweight without slowing containment.",5,2026-08-03T02:06:12.597532+00:00
reviewer-b-out-9766694bc902f53f,study-controlled-v1,out-9766694bc902f53f,reviewer-b,5,5,5,4,5,5,,"Strongest evidentiary discipline in this group — explicitly labels scenario text as untrusted and requires source/owner/status for every current-state field; per-party 'no-go' dependency table and mandatory go/no-go gate are a clean escalation aid.",5,2026-08-03T02:06:12.597538+00:00
reviewer-b-out-a409c13b4636c2f3,study-controlled-v1,out-a409c13b4636c2f3,reviewer-b,4,5,5,3,5,5,,"Most rigorous fact/hypothesis/decision/blocker labeling scheme and the most explicit escalation-on-missing-authority discipline; but the density of the format works somewhat against the 10-minute usability constraint relative to the other two entries in this scenario.",4,2026-08-03T02:06:12.597543+00:00
reviewer-b-out-bf1e434eea4d01a7,study-controlled-v1,out-bf1e434eea4d01a7,reviewer-b,5,5,5,4,4,5,,"Comprehensive control model (authorization, immutable evidence, rollback, readback, exceptions) with proportionality baked into every section; verification notes specify concrete positive/negative tests.",4,2026-08-03T02:06:12.597548+00:00
reviewer-b-out-e2a88c1d2035ae30,study-controlled-v1,out-e2a88c1d2035ae30,reviewer-b,4,5,5,4,4,4,,"Correctly treats all scenario content as unapproved/pending and blocks implementation until repository paths are confirmed; strong smallest-complete-change discipline, though slightly more hedged and less concretely testable than the strongest peer review.",4,2026-08-03T02:06:12.597554+00:00
reviewer-b-out-e77859dd10dc5107,study-controlled-v1,out-e77859dd10dc5107,reviewer-b,5,5,5,5,4,4,,"Best-structured acceptance criteria in the group (AC-1 through AC-8), each independently testable; clean separation between draft generation and the explicit-apply mutation path.",4,2026-08-03T02:06:12.597559+00:00
reviewer-b-out-f04174b675c63235,study-controlled-v1,out-f04174b675c63235,reviewer-b,5,5,5,5,5,5,,"Clear consequence-tiered proportionality model; strong separation-of-duties requirement between planning and execution roles; verification notes are exhaustive and directly testable.",4,2026-08-03T02:06:12.597563+00:00
reviewer-c-out-046bce2e8a6aabc8,study-controlled-v1,out-046bce2e8a6aabc8,reviewer-c,5,5,5,5,5,5,,"Comprehensive governance-first plan; clear separation of planning vs execution; strong pre/post validation, compatibility matrix, rollback readiness, and stop/go gates; explicitly proposal-only with no live changes.",5,2026-08-03T02:06:12.721532+00:00
reviewer-c-out-0db13d90df8dde78,study-controlled-v1,out-0db13d90df8dde78,reviewer-c,5,5,5,5,5,5,,"Excellent governance charter; clear manager boundary preventing absorption of subordinate work; robust ownership tables, checkpoints, escalation triggers, evidence checklist, and assumption register requiring confirmation; no motive inference.",5,2026-08-03T02:06:12.721559+00:00
reviewer-c-out-2b98fcf97bdc47cd,study-controlled-v1,out-2b98fcf97bdc47cd,reviewer-c,5,5,5,5,5,5,,"Tight bounded contract; strong non-authoritative draft boundary; provider-agnostic; measurable acceptance criteria; required tests including no-canonical-write; clear rollback and smallest-complete-change discipline.",5,2026-08-03T02:06:12.721566+00:00
reviewer-c-out-343566f5d9b53740,study-controlled-v1,out-343566f5d9b53740,reviewer-c,5,5,5,5,5,5,,"Correctly refuses to invent contradiction details; ranks sources properly; separates findings/inference; states unresolved uncertainty; recommends concrete next evidence action; no manufactured consensus or external citations.",5,2026-08-03T02:06:12.721571+00:00
reviewer-c-out-3c20fe70d7e13c1f,study-controlled-v1,out-3c20fe70d7e13c1f,reviewer-c,5,5,5,5,5,5,,"Technology-neutral control specification; strong actor-action-target binding and execution-time authorization distinct from planning; proportionate consequence classes; immutable evidence properties; exception/escalation handling; clear verification limits.",5,2026-08-03T02:06:12.721576+00:00
reviewer-c-out-47e923a83d897b9c,study-controlled-v1,out-47e923a83d897b9c,reviewer-c,5,5,5,5,5,5,,"Thorough bounded contract with explicit pre-implementation decisions; strong data/authorization/model-output boundaries; comprehensive measurable criteria and tests; provider-neutral; clear non-mutating generation and rollback.",5,2026-08-03T02:06:12.721581+00:00
reviewer-c-out-4fae9aa88a4a764a,study-controlled-v1,out-4fae9aa88a4a764a,reviewer-c,5,5,5,5,5,5,,"Detailed proposal-only MOP-style plan; strong current/target state templates; parallel vs cutover strategies; thorough pre/post validation and rollback; explicit execution-authorization gate; no live changes or assumed device state.",5,2026-08-03T02:06:12.721585+00:00
